epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.4639,0.64347,0.41538,0.92811,0.92641,0.89623,0.94433,0.75791,0.65389,0.46837,0.9145,0.000555124,0.000555124,0.000555124
2,183.001,0.70488,0.46292,0.94998,0.9355,0.88393,0.96126,0.74389,0.69946,0.52788,0.93877,0.00107413,0.00107413,0.00107413
3,270.495,0.7407,0.49392,0.96911,0.94879,0.91473,0.96776,0.75085,0.70822,0.54119,0.95475,0.00155647,0.00155647,0.00155647
4,359.108,0.75957,0.5173,0.97503,0.93666,0.91637,0.95988,0.73841,0.69539,0.82877,0.94349,0.00150197,0.00150197,0.00150197
5,440.719,0.75023,0.50366,0.96996,0.94305,0.91681,0.9593,0.74669,0.68549,0.70549,0.95622,0.00144696,0.00144696,0.00144696
6,521.017,0.73922,0.50864,0.96346,0.90818,0.87646,0.94205,0.72869,0.74915,1.98194,1.00674,0.00139195,0.00139195,0.00139195
