epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8633,0.58754,0.42453,0.93984,0.95845,0.96443,0.98553,0.78728,0.45675,1.69531,0.73879,0.000553783,0.000553783,0.000553783
2,64.903,0.66743,0.48756,0.97735,0.97326,0.93424,0.97792,0.76814,0.5004,4.42277,0.74115,0.00109114,0.00109114,0.00109114
3,92.045,0.69864,0.53515,0.99009,0.95656,0.93617,0.97375,0.75607,0.52739,0.93839,0.75629,0.00161017,0.00161017,0.00161017
4,119.892,0.72638,0.54834,1.01213,0.96145,0.94065,0.97374,0.76532,0.51489,1.36785,0.75258,0.00158448,0.00158448,0.00158448
5,148.838,0.72149,0.53519,1.01273,0.95711,0.95773,0.9779,0.75578,0.50333,0.98569,0.74514,0.00155698,0.00155698,0.00155698
6,175.811,0.72554,0.55911,1.01169,0.96168,0.95108,0.97724,0.76313,0.50191,1.44745,0.74301,0.00152947,0.00152947,0.00152947
7,202.746,0.70852,0.53665,0.99838,0.95933,0.93096,0.97081,0.74332,0.50733,1.25913,0.75649,0.00150197,0.00150197,0.00150197
8,229.643,0.71651,0.52661,1.00314,0.96481,0.92648,0.96529,0.76263,0.49649,0.58667,0.74532,0.00147446,0.00147446,0.00147446
