epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,3125.6,0.81482,0.44748,0.94944,0.94747,0.93302,0.97089,0.73573,0.57783,0.4056,0.78843,5.22683e-05,5.22683e-05,5.22683e-05
42,3201.37,0.80988,0.44763,0.94934,0.94867,0.9409,0.97322,0.74127,0.57291,0.38092,0.78501,4.35288e-05,4.35288e-05,4.35288e-05
43,3276.24,0.81699,0.44408,0.95011,0.9442,0.93919,0.97189,0.73746,0.56666,0.38341,0.78461,3.56141e-05,3.56141e-05,3.56141e-05
44,3351.47,0.80825,0.44253,0.95004,0.94697,0.9391,0.97167,0.73923,0.57016,0.38278,0.7858,2.85553e-05,2.85553e-05,2.85553e-05
45,3426.59,0.80016,0.43173,0.94934,0.94809,0.93719,0.97217,0.73813,0.57049,0.37361,0.78572,2.23803e-05,2.23803e-05,2.23803e-05
46,3502.12,0.79287,0.42878,0.94576,0.95802,0.93502,0.97327,0.7394,0.5714,0.3672,0.78602,1.71135e-05,1.71135e-05,1.71135e-05
47,3577.23,0.78755,0.43249,0.94322,0.95495,0.93915,0.97424,0.7411,0.56865,0.36389,0.78489,1.27757e-05,1.27757e-05,1.27757e-05
48,3652.71,0.79404,0.42889,0.93344,0.95438,0.94044,0.97401,0.74001,0.56688,0.36701,0.78525,9.38391e-06,9.38391e-06,9.38391e-06
49,3727.56,0.79387,0.43045,0.9486,0.96072,0.93666,0.97418,0.74179,0.56643,0.36146,0.78436,6.95161e-06,6.95161e-06,6.95161e-06
50,3804.05,0.80165,0.43826,0.94338,0.95866,0.93677,0.97432,0.74026,0.57008,0.36416,0.78429,5.48838e-06,5.48838e-06,5.48838e-06
